2/19 21:53:54.268  Spellbook : Make Models Local End
2/19 21:53:54.268  Movement : World : World Preload End
2/19 22:06:13.555  Loading Screen Enable : 1643 - 1
2/19 22:06:15.477  Stop waiting for active player
2/19 22:06:15.524  Client Object Manager Destroyed
2/19 22:06:15.590  Client Object Manager Initialized: 1643
2/19 22:06:17.289  Client : Load Map Begin : 1643
2/19 22:06:17.289  Loading Screen : Loading : Files Read 42531 : Bytes Read 2692907548 : Elapsed MS 3745 : MBytes Per Sec 685.756
2/19 22:06:19.330  Loading Screen : Loading : Files Read 1276 : Bytes Read 161754569 : Elapsed MS 2037 : MBytes Per Sec 75.730
2/19 22:06:19.330  Loading Screen : World Loaded 61%
2/19 22:06:21.373  Loading Screen : Loading : Files Read 2125 : Bytes Read 174216022 : Elapsed MS 2043 : MBytes Per Sec 81.324
2/19 22:06:21.373  Loading Screen : World Loaded 61%
2/19 22:06:23.406  Loading Screen : Loading : Files Read 1603 : Bytes Read 130384532 : Elapsed MS 2034 : MBytes Per Sec 61.133
2/19 22:06:23.406  Loading Screen : World Loaded 61%
2/19 22:06:25.422  Client : Load Map End
2/19 22:06:25.422  Start waiting for active player
2/19 22:06:25.422  New World Handler : Send World Port Response
2/19 22:06:25.422  Waiting for active player: 4 ms
2/19 22:06:25.736  Stop waiting for active player
2/19 22:06:25.818  Loading Screen : Loading : Files Read 1674 : Bytes Read 185964456 : Elapsed MS 2412 : MBytes Per Sec 73.528
2/19 22:06:25.818  Loading Screen : World Loaded 100%
2/19 22:06:26.586  Active Player Created
2/19 22:06:26.586  Player : Exit Loading Screen : World Check Preload Begin
2/19 22:06:26.586  Player : Exit Loading Screen : World Check Preload End
2/19 22:06:26.586  Loading Screen : Streaming 0
2/19 22:06:26.586  Loading Screen : World Loaded 100%
2/19 22:06:26.590  Loading Screen Disable
2/19 22:06:26.590  Spellbook : Make Models Local Begin : 169
2/19 22:06:26.590  Spellbook : Make Models Local End
2/19 22:07:04.798  Stop waiting for active player
2/19 22:07:04.833  Client Object Manager Destroyed
2/19 22:07:09.086  Client Destroy
