2/18 19:44:26.287  ---- Startup ----
2/18 19:44:36.686  ---- ClientAvailableHotfixes ----
2/18 19:44:36.686      549, QuestPOIPoint
2/18 19:44:36.686      550, QuestPOIPoint
2/18 19:44:36.686      551, QuestPOIPoint
2/18 19:44:36.686      553, QuestPOIPoint
2/18 19:44:36.686      554, QuestPOIPoint
2/18 19:44:36.686      555, QuestPOIPoint
2/18 19:44:36.686      557, SpellEffect
2/18 19:44:36.686      558, PlayerCondition
2/18 19:44:36.686      559, QuestV2CliTask
2/18 19:44:36.686      559, QuestV2
2/18 19:44:36.686      562, PathNode
2/18 19:44:36.686      564, SceneScriptText
2/18 19:44:36.686      564, SceneScriptGlobalText
2/18 19:44:36.686      564, SceneScript
2/18 19:44:36.686      565, SceneScript
2/18 19:44:36.686      565, SceneScriptText
2/18 19:44:36.686      565, SceneScriptGlobalText
2/18 19:44:36.686      566, SceneScriptGlobalText
2/18 19:44:36.686      566, SceneScript
2/18 19:44:36.686      566, SceneScriptText
2/18 19:44:36.686      567, SceneScriptGlobalText
2/18 19:44:36.686      567, SceneScript
2/18 19:44:36.686      567, SceneScriptText
2/18 19:44:36.686      605, SpellMisc
2/18 19:44:36.686      606, SpellEffect
2/18 19:44:36.686      608, TransmogHoliday
2/18 19:44:36.686      608, Item
2/18 19:44:36.686      608, ItemSearchName
2/18 19:44:36.686      608, ItemSparse
2/18 19:44:36.686      608, TradeSkillItem
2/18 19:44:36.686      613, AreaTable
2/18 19:44:36.686      614, AreaTable
2/18 19:44:36.686      615, AreaTable
2/18 19:44:36.686      616, AreaTable
2/18 19:44:36.686      617, AreaTable
2/18 19:44:36.686      618, AreaTable
2/18 19:44:36.686      619, AreaTable
2/18 19:44:36.686      621, AreaTable
2/18 19:44:36.686      622, AreaTable
2/18 19:44:36.686      623, AreaTable
2/18 19:44:36.686      624, AreaTable
2/18 19:44:36.686      625, AreaTable
2/18 19:44:36.686      627, LFGDungeons
2/18 19:44:36.686      628, LFGDungeons
2/18 19:44:36.686      629, LFGDungeons
2/18 19:44:36.686      639, GameObjects
2/18 19:44:36.686      640, ModifierTree
2/18 19:44:36.686      641, ModifierTree
2/18 19:44:36.686      642, ModifierTree
2/18 19:44:36.686      643, ModifierTree
2/18 19:44:36.686      644, ModifierTree
2/18 19:44:36.686      646, ModifierTree
2/18 19:44:36.686      647, ModifierTree
2/18 19:44:36.686      649, ModifierTree
2/18 19:44:36.686      650, ModifierTree
2/18 19:44:36.686      651, ModifierTree
2/18 19:44:36.686      652, ModifierTree
2/18 19:44:36.686      653, PlayerCondition
2/18 19:44:36.686      654, QuestV2CliTask
2/18 19:44:36.686      654, QuestV2
2/18 19:44:36.686      655, QuestV2CliTask
2/18 19:44:36.686      655, QuestV2
2/18 19:44:36.686      656, QuestV2
2/18 19:44:36.686      656, QuestV2CliTask
2/18 19:44:36.686      657, QuestV2
2/18 19:44:36.686      657, QuestV2CliTask
2/18 19:44:36.686      658, SpellName
2/18 19:44:36.686      658, Spell
2/18 19:44:36.686      660, SpellName
2/18 19:44:36.686      660, Spell
2/18 19:44:36.686      661, Spell
2/18 19:44:36.686      661, SpellName
2/18 19:44:36.686      662, Spell
2/18 19:44:36.686      662, SpellName
2/18 19:44:36.686      663, SpellEffect
2/18 19:44:36.686      664, SpellEffect
2/18 19:44:36.686      665, SpellEffect
2/18 19:44:36.686      666, SpellEffect
2/18 19:44:36.686      668, SpellEffect
2/18 19:44:36.686      669, SpellEffect
2/18 19:44:36.686      670, SpellEffect
2/18 19:44:36.686      671, SpellEffect
2/18 19:44:36.686      673, SpellMisc
2/18 19:44:36.686      675, SpellMisc
2/18 19:44:36.686      676, SpellMisc
2/18 19:44:36.686      677, SpellMisc
2/18 19:44:36.686      692, ModifierTree
2/18 19:44:36.686      693, ModifierTree
2/18 19:44:36.686      694, Phase
2/18 19:44:36.686      695, PlayerCondition
2/18 19:44:36.686      696, QuestV2CliTask
2/18 19:44:36.686      696, QuestV2
2/18 19:44:36.686      697, QuestV2
2/18 19:44:36.686      697, QuestV2CliTask
2/18 19:44:36.686      760, CurvePoint
2/18 19:44:36.686      763, CurvePoint
2/18 19:44:36.686      764, CurvePoint
2/18 19:44:36.686      765, CurvePoint
2/18 19:44:36.686      799, Creature
2/18 19:44:36.686      800, Creature
2/18 19:44:36.686      801, Creature
2/18 19:44:36.686      804, CreatureDifficulty
2/18 19:44:36.686      805, CreatureDifficulty
2/18 19:44:36.686      806, CreatureDifficulty
2/18 19:44:36.686      807, CreatureDifficulty
2/18 19:44:36.686      808, CreatureDifficulty
2/18 19:44:36.686      814, CreatureDifficulty
2/18 19:44:36.686      815, CreatureDifficulty
2/18 19:44:36.686      817, CreatureDifficulty
2/18 19:44:36.686      818, CreatureDifficulty
2/18 19:44:36.686      819, CreatureDifficulty
2/18 19:44:36.686      820, CreatureDifficulty
2/18 19:44:36.686      821, CreatureDifficulty
2/18 19:44:36.686      823, CreatureDifficulty
2/18 19:44:36.686      825, CreatureDifficulty
2/18 19:44:36.686      826, CreatureDifficulty
2/18 19:44:36.686      828, CreatureDifficulty
2/18 19:44:36.686      829, CreatureDifficulty
2/18 19:44:36.686      831, CreatureDifficulty
2/18 19:44:36.686      832, CreatureDifficulty
2/18 19:44:36.686      833, CreatureDifficulty
2/18 19:44:36.686      879, SpellEffect
2/18 19:44:36.686      880, SpellEffect
2/18 19:44:36.686      881, SpellEffect
2/18 19:44:36.686      882, SpellEffect
2/18 19:44:36.686      883, SpellMisc
2/18 19:44:36.686      885, SpellMisc
2/18 19:44:36.686      886, SpellMisc
2/18 19:44:36.686      887, SpellProceduralEffect
2/18 19:44:36.686      889, SpellVisual
2/18 19:44:36.686      890, SpellVisualAnim
2/18 19:44:36.686      891, SpellVisualEvent
2/18 19:44:36.686      892, SpellVisualKit
2/18 19:44:36.686      893, SpellVisualKitEffect
2/18 19:44:36.686      894, SpellVisualKitEffect
2/18 19:44:36.686      897, SpellVisualKitModelAttach
2/18 19:44:36.686      898, SpellVisualKitModelAttach
2/18 19:44:36.686      900, SpellVisualKitModelAttach
2/18 19:44:36.686      901, SpellXSpellVisual
2/18 19:44:36.686      907, QuestPOIBlob
2/18 19:44:36.686      908, QuestPOIBlob
2/18 19:44:36.686      909, QuestPOIBlob
2/18 19:44:36.686      910, QuestPOIBlob
2/18 19:44:36.686      911, QuestPOIPoint
2/18 19:44:36.686      913, QuestPOIPoint
2/18 19:44:36.686      914, QuestPOIPoint
2/18 19:44:36.686      917, ModifierTree
2/18 19:44:36.686      918, ModifierTree
2/18 19:44:36.686      919, ModifierTree
2/18 19:44:36.686      920, ModifierTree
2/18 19:44:36.686      922, PlayerCondition
2/18 19:44:36.686      924, SpellName
2/18 19:44:36.686      924, Spell
2/18 19:44:36.686      926, SpellEffect
2/18 19:44:36.686      927, SpellEffect
2/18 19:44:36.686      928, SpellInterrupts
2/18 19:44:36.686      929, SpellMisc
2/18 19:44:36.686      930, JournalEncounterSection
2/18 19:44:36.686      931, JournalSectionXDifficulty
2/18 19:44:36.686      934, QuestPOIBlob
2/18 19:44:36.686      936, QuestPOIPoint
2/18 19:44:36.686      937, QuestPOIPoint
2/18 19:44:36.686      938, SpellEffect
2/18 19:44:36.686      948, SpellEffect
2/18 19:44:36.686      949, SpellEffect
2/18 19:44:36.686      952, AnimKitSegment
2/18 19:44:36.686      953, AnimKitSegment
2/18 19:44:36.686      955, SpellVisualAnim
2/18 19:44:36.686      957, QuestPOIBlob
2/18 19:44:36.686      961, QuestPOIPoint
2/18 19:44:36.686      962, QuestPOIPoint
2/18 19:44:36.686      963, QuestPOIPoint
2/18 19:44:36.686      964, QuestPOIPoint
2/18 19:44:36.686      966, QuestPOIPoint
2/18 19:44:36.686      967, QuestPOIPoint
2/18 19:44:36.686      968, QuestPOIPoint
2/18 19:44:36.686      969, QuestPOIPoint
2/18 19:44:36.686      970, QuestPOIPoint
2/18 19:44:36.686      971, QuestPOIPoint
2/18 19:44:36.686      973, QuestPOIPoint
2/18 19:44:36.686      975, QuestPOIPoint
2/18 19:44:36.686      976, QuestPOIPoint
2/18 19:44:36.686      977, QuestPOIPoint
2/18 19:44:36.686      978, QuestPOIPoint
2/18 19:44:36.686      979, QuestPOIPoint
2/18 19:44:36.686      980, QuestPOIPoint
2/18 19:44:36.686      981, QuestPOIPoint
2/18 19:44:36.686      982, QuestPOIPoint
2/18 19:44:36.686      985, QuestObjective
2/18 19:44:36.686      986, QuestPOIBlob
2/18 19:44:36.686      987, QuestPOIBlob
2/18 19:44:36.686      988, QuestPOIPoint
2/18 19:44:36.686      989, QuestPOIPoint
2/18 19:44:36.686      990, QuestPOIPoint
2/18 19:44:36.686      991, QuestPOIPoint
2/18 19:44:36.686      992, QuestPOIPoint
2/18 19:44:36.686      994, QuestPOIPoint
2/18 19:44:36.686      995, QuestPOIPoint
2/18 19:44:36.686      998, SpellMisc
2/18 19:44:36.686      999, SpellMisc
2/18 19:44:36.686      1000, SpellMisc
2/18 19:44:36.686      1001, SpellMisc
2/18 19:44:36.686      1002, Creature
2/18 19:44:36.686      1003, CreatureXDisplayInfo
2/18 19:44:36.686      1004, Criteria
2/18 19:44:36.686      1005, CriteriaTree
2/18 19:44:36.686      1007, GameObjects
2/18 19:44:36.686      1008, ScenarioEventEntry
2/18 19:44:36.686      1033, CriteriaTree
2/18 19:44:36.686      1034, CriteriaTree
2/18 19:44:36.686      1035, CriteriaTree
2/18 19:44:36.686      1037, GameObjects
2/18 19:44:36.686      1038, GameObjects
2/18 19:44:36.686      1040, ScenarioEventEntry
2/18 19:44:36.686      1057, GameObjects
2/18 19:44:36.686      1058, PlayerCondition
2/18 19:44:36.686      1062, Holidays
2/18 19:44:36.686      1064, Holidays
2/18 19:44:36.686      1065, Holidays
2/18 19:44:36.686      1067, Holidays
2/18 19:44:36.686      1068, Holidays
2/18 19:44:36.686      1069, Holidays
2/18 19:44:36.686      1070, Holidays
2/18 19:44:36.686      1071, Holidays
2/18 19:44:36.686      1072, Holidays
2/18 19:44:36.686      1073, Holidays
2/18 19:44:36.686      1074, Holidays
2/18 19:44:36.686      1075, Holidays
2/18 19:44:36.686      1077, Holidays
2/18 19:44:36.686      1079, Holidays
2/18 19:44:36.686      1081, Holidays
2/18 19:44:36.686      1083, Holidays
2/18 19:44:36.686      1085, Holidays
2/18 19:44:36.686      1087, Holidays
2/18 19:44:36.686      1089, Holidays
2/18 19:44:36.686      1090, Holidays
2/18 19:44:36.686      1108, Spell
2/18 19:44:36.686      1108, SpellName
2/18 19:44:36.686      1109, SpellEffect
2/18 19:44:36.686      1110, SpellMisc
2/18 19:44:36.686      1112, Unknown
2/18 19:44:36.686      1121, ModifierTree
2/18 19:44:36.686      1123, ModifierTree
2/18 19:44:36.686      1124, ModifierTree
2/18 19:44:36.686      1132, QuestPOIBlob
2/18 19:44:36.686      1133, QuestPOIBlob
2/18 19:44:36.686      1134, QuestPOIBlob
2/18 19:44:36.686      1135, QuestPOIBlob
2/18 19:44:36.686      1136, QuestPOIBlob
2/18 19:44:36.686      1138, QuestPOIBlob
2/18 19:44:36.686      1140, QuestPOIPoint
2/18 19:44:36.686      1141, QuestPOIPoint
2/18 19:44:36.686      1142, QuestPOIPoint
2/18 19:44:36.686      1143, QuestPOIPoint
2/18 19:44:36.686      1144, QuestPOIPoint
2/18 19:44:36.686      1145, QuestPOIPoint
2/18 19:44:36.686      1147, QuestPOIPoint
2/18 19:44:36.686      1149, AnimKit
2/18 19:44:36.686      1151, Spell
2/18 19:44:36.686      1151, SpellName
2/18 19:44:36.686      1152, SpellEffect
2/18 19:44:36.686      1170, SpellVisual
2/18 19:44:36.686      1171, SpellVisualAnim
2/18 19:44:36.686      1172, SpellVisualEvent
2/18 19:44:36.686      1173, SpellVisualKit
2/18 19:44:36.686      1174, SpellVisualKitEffect
2/18 19:44:36.686      1175, SpellVisualKitEffect
2/18 19:44:36.686      1176, SpellVisualKitModelAttach
2/18 19:44:36.686      1177, SpellXSpellVisual
2/18 19:44:36.686      1185, PlayerCondition
2/18 19:44:36.686      1186, QuestObjective
2/18 19:44:36.686      1190, QuestPOIBlob
2/18 19:44:36.686      1191, QuestPOIBlob
2/18 19:44:36.686      1192, QuestPOIPoint
2/18 19:44:36.686      1193, QuestPOIPoint
2/18 19:44:36.686      1203, Spell
2/18 19:44:36.686      1203, SpellName
2/18 19:44:36.686      1204, SpellName
2/18 19:44:36.686      1204, Spell
2/18 19:44:36.686      1205, SpellEffect
2/18 19:44:36.686      1206, SpellEffect
2/18 19:44:36.686      1209, SpellEffect
2/18 19:44:36.686      1210, SpellEffect
2/18 19:44:36.686      1211, SpellEffect
2/18 19:44:36.686      1212, SpellInterrupts
2/18 19:44:36.686      1213, SpellInterrupts
2/18 19:44:36.686      1214, SpellMisc
2/18 19:44:36.686      1215, SpellMisc
2/18 19:44:36.686      1216, SpellMisc
2/18 19:44:36.686      1217, SpellVisual
2/18 19:44:36.686      1219, SpellXSpellVisual
2/18 19:44:36.686      1220, SpellXSpellVisual
2/18 19:44:36.686      1222, WorldEffect
2/18 19:44:36.686      1224, QuestPOIBlob
2/18 19:44:36.686      1225, QuestPOIPoint
2/18 19:44:36.686      1226, QuestPOIPoint
2/18 19:44:36.686      1227, QuestPOIPoint
2/18 19:44:36.686      1243, CombatCondition
2/18 19:44:36.686      1244, CombatCondition
2/18 19:44:36.686      1245, SpellName
2/18 19:44:36.686      1245, Spell
2/18 19:44:36.686      1246, SpellEffect
2/18 19:44:36.686      1247, SpellMisc
2/18 19:44:36.686      1248, UnitCondition
2/18 19:44:36.686      1249, UnitCondition
2/18 19:44:36.686      1265, UiWidgetMap
2/18 19:44:36.686      1266, UiWidgetMap
2/18 19:44:36.686      1267, UiWidgetMap
2/18 19:44:36.686      1268, UiWidgetMap
2/18 19:44:36.686      1269, CriteriaTreeXEffect
2/18 19:44:36.686      1270, CriteriaTreeXEffect
2/18 19:44:36.686      1271, QuestPOIBlob
2/18 19:44:36.686      1273, WorldEffect
2/18 19:44:36.686      1285, AreaTable
2/18 19:44:36.686      1288, Unknown
2/18 19:44:36.686      1289, SpellInterrupts
2/18 19:44:36.686      1290, SpellMisc
